open,high,low,close,atr14,rsi14,ema10,ema20,ema50,bull_bos,bear_bos,choch,swing_trend,bull_fvg,bear_fvg,inside_fvg,swing_ob_bull,swing_ob_bear,inside_ob,in_premium,in_discount,zone_pct,near_ote,eq_high,eq_low,dist_to_P_trad,dist_to_R1_trad,above_P_trad,above_R1_trad,below_S1_trad,pivot_range_width_trad,usd_strength
402.0,402.8,400.1,401.1,5.690909090909088,76.89873417721518,393.8316086702018,390.2599512561103,386.9911788290741,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,0,0.369009584599699,0.6677316292756306,1,0,0,1.7044728431509701,0.0
401.8,404.6,398.8,399.8,5.699999999999998,73.86018237082064,394.91677073016507,391.1685273269569,387.4934855416594,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.2690058479060171,0.4853801168738974,0,0,1,0.4736842104432114,0.0
399.8,400.5,390.3,391.3,6.046153846153843,58.69565217391302,394.2591760519532,391.1810485339134,387.64276061845715,0,0,0,0,0,0,0,0,0,0,0,1,0.06993006992517965,0,0,0,1.6153519929474167,1.990245970832822,0,0,1,0.9592875316479573,0.0
391.5,396.3,391.1,393.3,5.985714285714282,60.5990783410138,394.0847804061435,391.38285343544544,387.86461314322355,0,0,0,0,0,1,0,0,0,0,0,1,0.1629629629508908,0,1,0,0.12251392201612045,0.746221161370944,0,0,0,1.7040572789515886,0.0
391.6,395.8,391.5,395.0,6.149999999999998,62.08425720620839,394.2511839686629,391.72734358445064,388.14443223564615,0,0,0,0,0,0,0,0,0,0,0,1,0.2671755724986884,0,0,0,0.23306233058541062,0.1680216801894767,1,0,0,0.845528455147067,0.0
395.1,399.8,391.3,397.8,6.471428571428569,66.09442060085836,394.89642324708774,392.30569181450295,388.52308195189534,0,0,0,0,0,0,0,0,0,0,0,1,0.4887218044745318,0,0,1,0.5717439292714817,0.16997792491855881,1,1,0,0.6644591610452291,0.0
397.8,398.8,388.5,392.1,6.657142857142857,53.76344086021506,394.3879826567081,392.2861021178836,388.66335324789947,0,0,0,0,0,0,0,0,0,0,0,1,0.22360248445816244,0,0,0,0.6309012874588759,1.3819742487194444,0,0,1,1.2768240341429664,0.0
394.1,403.1,394.1,401.8,6.928571428571429,67.50972762645915,395.73562217367027,393.1921876304661,389.1785158656289,0,0,0,0,0,0,0,0,0,0,1,0,0.826086956470429,0,0,0,1.2508591063486678,0.5821305841084085,1,1,0,1.486597937929771,0.0
401.8,408.6,399.3,407.3,7.142857142857143,68.54990583804144,397.83823632391204,394.53578880851694,389.88916230227096,0,0,0,0,1,0,0,0,0,0,1,0,0.9353233830380431,0,0,0,1.068666666517052,0.2893333332928261,1,1,0,1.2599999998236,0.0
407.3,407.8,405.0,407.1,6.628571428571429,63.73390557939916,399.52219335592804,395.73238035056295,390.5640971139466,0,0,0,0,1,0,0,0,0,0,1,0,0.9637305698982529,0,0,0,0.30675287351694497,0.5632183907196231,1,0,0,1.4030172411676498,0.0
407.3,408.3,405.0,406.6,6.528571428571431,64.70588235294119,400.8090672912138,396.76739174574743,391.1929560506546,0,0,0,0,0,0,0,0,0,0,1,0,0.914141414095246,0,1,1,0.005105762216581588,0.25528811082888786,0,0,0,0.42888402619251387,0.0
407.1,407.3,399.6,403.1,6.7928571428571445,59.29752066115703,401.2256005109931,397.3704972937715,391.65989895062893,0,0,0,0,0,0,0,0,0,0,1,0,0.7765957446395435,1,0,1,0.5201542235476853,0.7606028740555829,0,0,1,0.4858044163322701,0.0
400.8,405.8,400.8,404.8,6.842857142857143,59.46502057613168,401.8754913271762,398.07806898007897,392.17519703099646,0,0,0,0,0,0,0,0,0,0,1,0,0.9421965317374453,0,0,0,0.21433542098468747,0.33124565061268146,1,0,0,1.1252609601695842,0.0
